url,length,type,podcast
http://raumzeit-podcast.de/podlove/file/2328/s/feed/c/mp3/rz060-extrasolare-planeten.mp3,63019244,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2307/s/feed/c/mp3/rz059-kleinsatelliten.mp3,59448846,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2286/s/feed/c/mp3/rz058-philae.mp3,56147490,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2041/s/feed/c/mp3/rz057-gaia.mp3,61879643,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/1966/s/feed/c/mp3/rz056-forschung-in-der-iss.mp3,66947654,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2002/s/feed/c/mp3/rz055-planck.mp3,60867488,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/1905/s/feed/c/mp3/rz054-space-elevator.mp3,56689303,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/214/s/feed/c/mp3/rz053-mythos-raumfahrt.mp3,65356147,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/216/s/feed/c/mp3/rz052-solar-orbiter.mp3,32840656,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/218/s/feed/c/mp3/rz051-xmm-newton.mp3,36537432,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/220/s/feed/c/mp3/rz050-humanoide-robotik.mp3,49868468,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/222/s/feed/c/mp3/rz049-der-mars.mp3,50328687,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/224/s/feed/c/mp3/rz048-mars-express.mp3,39170126,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/226/s/feed/c/mp3/rz047-die-venus.mp3,33476624,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/228/s/feed/c/mp3/rz046-venus-express.mp3,58086083,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/230/s/feed/c/mp3/rz045-rexus-bexus.mp3,63449591,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/232/s/feed/c/mp3/rz044-der-merkur.mp3,56273248,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/234/s/feed/c/mp3/rz043-bepicolombo.mp3,49979738,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/236/s/feed/c/mp3/rz042-gmes.mp3,50149925,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/238/s/feed/c/mp3/rz041-envisat.mp3,52024196,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/240/s/feed/c/mp3/rz040-goce.mp3,52214238,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/242/s/feed/c/mp3/rz039-der-mond.mp3,46112256,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/244/s/feed/c/mp3/rz038-alpha-magnet-spektrometer.mp3,71851185,audio/mpeg,raumzeit
